Vdc (V)            Vout (Vpp)            Vdut (Vpp)
 0.0                 17.80                 14.00              
 0.5                 17.00                 16.00
 1.0                 14.40                 16.40
 1.5                 12.80                 16.60
 2.0                 11.60                 16.80
 2.5                 10.60                 17.00
 3.0                 09.80                 17.20
 3.5                 09.20                 17.00
 4.0                 08.40                 16.80
 4.5                 08.20                 17.00
 5.0                 07.80                 17.00
 5.5                 07.60                 16.80
 6.0                 07.40                 16.60
 6.5                 07.00                 16.60
 7.0                 06.80                 16.60
 7.5                 06.60                 16.60
 8.0                 06.60                 17.00
 8.5                 06.20                 17.00
 9.0                 06.20                 17.20
 9.5                 06.20                 17.20  
 10.0                06.20                 17.20
