vd (in V)                        id (in mA)
-1.95				    -1.34
-1.50				    -0.87
-1.00				    -0.45
-0.85				    -0.35
-0.70				    -0.27
-0.65				    -0.24
-0.61				    -0.22
-0.55				    -0.19
-0.50				    -0.17
-0.45				    -0.15
-0.39				    -0.12
-0.34				    -0.10
-0.30				    -0.09
-0.25				    -0.07
-0.20				    -0.06
-0.15				    -0.05
-0.10				    -0.03
-0.05				    -0.02
0.000                               0.000
0.040				    0.000
0.090                               0.020
0.150				    0.060
0.200				    0.140
0.240                               0.240
0.300				    0.520
0.340				    0.890
0.370                               1.760
0.440				    6.300
0.490				    21.80
