vd (in V)                         id (in mA)
-2.00                              -12.55
-1.50                              -12.03
-0.98                              -11.60
-0.75                              -11.48
-0.50                              -11.34
-0.40                              -11.30
-0.30                              -11.29
-0.26                              -11.29                              
-0.20                              -11.26
-0.15                              -11.24
-0.08                              -11.23
-0.01                              -11.20
0.04                               -11.13                               
0.10                               -11.08
0.15                               -10.97
0.20                               -10.74
0.25                               -10.42                               
0.30                               -09.95
0.35                               -09.10
0.40                               -07.01
0.44                               -04.30
0.45                               -01.99 
0.46                                00.91
0.47                                02.85
0.48                                07.16
0.49                                08.71
0.50                                13.40
0.51                                16.87
