vd (in V)                        id (in mA)
-1.99                              -9.91
-1.50                              -9.38
-1.01                              -9.00
-0.75                              -8.85
-0.51                              -8.72
-0.26                              -8.64
-0.14                              -8.57
0.00                               -8.56
0.05                               -8.53
0.08                               -8.49                               
0.15                               -8.38
0.20                               -8.18 
0.25                               -7.88
0.30                               -7.44
0.35                               -6.45
0.41                               -4.35
0.42                               -3.57
0.43                               -2.06
0.44                               -0.53
0.45                                0.69
0.46                                3.17
0.47                                7.16
0.48                               10.72
0.49                               15.44
0.50                               18.80
