vl (in V)                          il (in mA)
0.01                                -11.17                                 
0.05                                -11.12
0.12                                -10.91
0.19                                -10.39
0.24                                -10.11
0.30                                -9.46
0.34                                -8.25
0.39                                -7.20          
0.42                                -5.21
0.43                                -4.11
0.44                                -3.78
0.44                                -3.10
0.44                                -2.55
0.45                                -2.01
0.45                                -1.49
0.45                                -0.94
0.45                                -0.77
