vl (in V)                          il (in mA)
0.00                                 -8.45
0.05                                 -8.41
0.12                                 -8.30                                 
0.18                                 -8.12
0.23                                 -7.60
0.29                                 -7.21                                 
0.33                                 -6.50
0.35                                 -6.02
0.41                                 -3.61
0.42                                 -3.21
0.43                                 -1.59
0.44                                 -0.75
