35 degrees
vd (in V)                 id (in mA)
0.092                       8.110
0.162                       8.070
0.278                       7.770
0.318                       7.450
0.362                       6.850
0.379                       6.420
0.395                       5.870
0.400                       5.650
0.404                       5.450
0.411                       5.060
0.418                       4.610
0.426                       4.110
0.433                       3.500
0.438                       3.040
0.443                       2.520
0.450                       1.660
0.454                       0.740

45 degrees
vd (in V)                 id (in mA)
0.092                       8.060
0.162                       8.010
0.289                       7.510
0.326                       7.050
0.366                       6.060
0.380                       5.440
0.388                       5.040
0.395                       4.550
0.403                       3.990
0.408                       3.470
0.413                       2.980
0.419                       2.440
0.422                       2.060
0.426                       1.560
0.430                       1.070
0.432                       0.710

55 degrees
vd (in V)                 id (in mA)
0.090                       8.000
0.141                       7.960
0.192                       7.870
0.239                       7.690
0.291                       7.220
0.343                       6.040
0.369                       4.760
0.381                       3.870
0.386                       3.490
0.391                       2.940
0.394                       2.570
0.399                       1.990
0.403                       1.520
0.406                       1.010
0.408                       0.660

65 degrees
vd (in V)		  id (in mA)
0.098                       8.060
0.138                       8.000
0.199                       7.840
0.230                       7.680
0.292                       6.950
0.327                       5.920
0.358                       4.110
0.369                       3.140
0.380                       1.720
0.384                       1.040
0.386                       0.700

75 degrees
vd (in V)		  id (in mA)
0.106                       7.980
0.160                       7.860
0.198                       7.700
0.235                       7.410
0.294                       6.270
0.317                       5.210
0.336                       3.850
0.344                       3.100
0.349                       2.330
0.353                       1.960
0.357                       1.480
0.359                       1.010
0.361                       0.580
